2020-08-06 00:02:31,403 - INFO - train.py[:250] - iter: 204775, lr: 0.0001, epoch: 92.99, loss: 1.91, hm_loss: 0.48, box_loss: 0.90, lmdk_loss: 0.52856
2020-08-06 00:02:32,914 - INFO - train.py[:250] - iter: 204785, lr: 0.0001, epoch: 93.00, loss: 4.44, hm_loss: 2.36, box_loss: 0.89, lmdk_loss: 1.18680
2020-08-06 00:02:36,336 - INFO - train.py[:250] - iter: 204787, lr: 0.0001, epoch: 93.00, loss: 5.30, hm_loss: 2.04, box_loss: 1.25, lmdk_loss: 2.00625
2020-08-06 00:02:36,337 - INFO - train.py[:255] - save hm
2020-08-06 00:03:38,640 - INFO - train.py[:285] - box_val: 0.8558191657066345
2020-08-06 00:03:40,202 - INFO - train.py[:250] - iter: 204797, lr: 0.0001, epoch: 93.00, loss: 11.67, hm_loss: 6.38, box_loss: 1.21, lmdk_loss: 4.07740
2020-08-06 00:03:42,081 - INFO - train.py[:250] - iter: 204807, lr: 0.0001, epoch: 93.01, loss: 1.95, hm_loss: 0.71, box_loss: 0.63, lmdk_loss: 0.61071
2020-08-06 00:03:43,825 - INFO - train.py[:250] - iter: 204817, lr: 0.0001, epoch: 93.01, loss: 6.12, hm_loss: 4.01, box_loss: 0.79, lmdk_loss: 1.31376
2020-08-06 00:03:45,572 - INFO - train.py[:250] - iter: 204827, lr: 0.0001, epoch: 93.02, loss: 4.07, hm_loss: 2.43, box_loss: 0.91, lmdk_loss: 0.72511
2020-08-06 00:03:47,292 - INFO - train.py[:250] - iter: 204837, lr: 0.0001, epoch: 93.02, loss: 2.35, hm_loss: 1.18, box_loss: 0.76, lmdk_loss: 0.41655
2020-08-06 00:03:49,110 - INFO - train.py[:250] - iter: 204847, lr: 0.0001, epoch: 93.03, loss: 7.36, hm_loss: 0.98, box_loss: 1.48, lmdk_loss: 4.89954
2020-08-06 00:03:50,905 - INFO - train.py[:250] - iter: 204857, lr: 0.0001, epoch: 93.03, loss: 8.76, hm_loss: 6.23, box_loss: 1.37, lmdk_loss: 1.15492
2020-08-06 00:03:52,707 - INFO - train.py[:250] - iter: 204867, lr: 0.0001, epoch: 93.04, loss: 1.83, hm_loss: 0.76, box_loss: 0.56, lmdk_loss: 0.50964
2020-08-06 00:03:54,381 - INFO - train.py[:250] - iter: 204877, lr: 0.0001, epoch: 93.04, loss: 7.83, hm_loss: 4.41, box_loss: 0.82, lmdk_loss: 2.60119
2020-08-06 00:03:56,170 - INFO - train.py[:250] - iter: 204887, lr: 0.0001, epoch: 93.05, loss: 2.32, hm_loss: 1.18, box_loss: 0.63, lmdk_loss: 0.50777
2020-08-06 00:03:57,950 - INFO - train.py[:250] - iter: 204897, lr: 0.0001, epoch: 93.05, loss: 14.41, hm_loss: 5.71, box_loss: 1.10, lmdk_loss: 7.60068
2020-08-06 00:03:59,704 - INFO - train.py[:250] - iter: 204907, lr: 0.0001, epoch: 93.05, loss: 5.80, hm_loss: 3.63, box_loss: 1.20, lmdk_loss: 0.97297
2020-08-06 00:04:01,494 - INFO - train.py[:250] - iter: 204917, lr: 0.0001, epoch: 93.06, loss: 6.06, hm_loss: 4.30, box_loss: 0.69, lmdk_loss: 1.06465
2020-08-06 00:04:03,271 - INFO - train.py[:250] - iter: 204927, lr: 0.0001, epoch: 93.06, loss: 7.11, hm_loss: 5.49, box_loss: 0.79, lmdk_loss: 0.82968
2020-08-06 00:04:05,117 - INFO - train.py[:250] - iter: 204937, lr: 0.0001, epoch: 93.07, loss: 8.62, hm_loss: 5.69, box_loss: 1.40, lmdk_loss: 1.52924
2020-08-06 00:04:06,890 - INFO - train.py[:250] - iter: 204947, lr: 0.0001, epoch: 93.07, loss: 5.83, hm_loss: 3.28, box_loss: 1.25, lmdk_loss: 1.30624
2020-08-06 00:04:08,565 - INFO - train.py[:250] - iter: 204957, lr: 0.0001, epoch: 93.08, loss: 3.66, hm_loss: 2.25, box_loss: 0.76, lmdk_loss: 0.64935
2020-08-06 00:04:10,335 - INFO - train.py[:250] - iter: 204967, lr: 0.0001, epoch: 93.08, loss: 6.65, hm_loss: 3.97, box_loss: 0.89, lmdk_loss: 1.79362
2020-08-06 00:04:12,159 - INFO - train.py[:250] - iter: 204977, lr: 0.0001, epoch: 93.09, loss: 23.28, hm_loss: 2.20, box_loss: 2.23, lmdk_loss: 18.84630
2020-08-06 00:04:13,903 - INFO - train.py[:250] - iter: 204987, lr: 0.0001, epoch: 93.09, loss: 3.53, hm_loss: 0.14, box_loss: 1.68, lmdk_loss: 1.71080
2020-08-06 00:04:15,657 - INFO - train.py[:250] - iter: 204997, lr: 0.0001, epoch: 93.10, loss: 7.13, hm_loss: 3.68, box_loss: 0.78, lmdk_loss: 2.67503
2020-08-06 00:04:17,478 - INFO - train.py[:250] - iter: 205007, lr: 0.0001, epoch: 93.10, loss: 1.70, hm_loss: 0.37, box_loss: 0.63, lmdk_loss: 0.69888
2020-08-06 00:04:19,272 - INFO - train.py[:250] - iter: 205017, lr: 0.0001, epoch: 93.10, loss: 6.85, hm_loss: 5.22, box_loss: 0.76, lmdk_loss: 0.88169
2020-08-06 00:04:20,983 - INFO - train.py[:250] - iter: 205027, lr: 0.0001, epoch: 93.11, loss: 1.75, hm_loss: 0.43, box_loss: 0.64, lmdk_loss: 0.68399
2020-08-06 00:04:22,695 - INFO - train.py[:250] - iter: 205037, lr: 0.0001, epoch: 93.11, loss: 9.10, hm_loss: 3.06, box_loss: 1.29, lmdk_loss: 4.75455
2020-08-06 00:04:24,421 - INFO - train.py[:250] - iter: 205047, lr: 0.0001, epoch: 93.12, loss: 8.71, hm_loss: 3.20, box_loss: 1.62, lmdk_loss: 3.89632
2020-08-06 00:04:26,260 - INFO - train.py[:250] - iter: 205057, lr: 0.0001, epoch: 93.12, loss: 9.38, hm_loss: 6.72, box_loss: 1.33, lmdk_loss: 1.33549
2020-08-06 00:04:27,974 - INFO - train.py[:250] - iter: 205067, lr: 0.0001, epoch: 93.13, loss: 6.65, hm_loss: 2.73, box_loss: 2.21, lmdk_loss: 1.70135
2020-08-06 00:04:29,931 - INFO - train.py[:250] - iter: 205077, lr: 0.0001, epoch: 93.13, loss: 13.43, hm_loss: 2.94, box_loss: 1.21, lmdk_loss: 9.28298
